data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
15/02/2022,00:00,7.91,0.10,19.8,6.63,0.01,18.1
15/02/2022,00:10,7.95,0.11,19.7,6.68,0.00,18.0
15/02/2022,00:20,7.91,0.11,19.7,6.69,0.00,18.1
15/02/2022,00:30,7.90,0.11,19.6,6.70,0.00,17.9
15/02/2022,00:40,7.90,0.11,19.3,6.69,0.01,17.6
15/02/2022,00:50,7.90,0.11,19.2,6.70,0.01,17.5
15/02/2022,01:00,7.90,0.12,19.0,6.72,0.01,17.4
15/02/2022,01:10,7.90,0.11,19.0,6.72,0.00,17.3
15/02/2022,01:20,7.90,0.11,18.9,6.73,0.01,17.2
15/02/2022,01:30,7.90,0.11,18.9,6.76,0.00,17.2
15/02/2022,01:40,7.89,0.11,18.8,6.75,0.01,17.1
15/02/2022,01:50,7.89,0.11,18.7,6.77,0.00,17.0
15/02/2022,02:00,7.86,0.11,18.6,6.77,0.00,17.0
15/02/2022,02:10,7.86,0.11,18.6,6.77,0.00,16.8
15/02/2022,02:20,7.85,0.12,18.6,6.77,0.00,16.8
15/02/2022,02:30,7.84,0.11,18.5,6.77,0.01,16.8
15/02/2022,02:40,7.84,0.11,18.5,6.77,0.01,16.7
15/02/2022,02:50,7.84,0.11,18.5,6.77,0.01,16.7
15/02/2022,03:00,7.83,0.11,18.4,6.77,0.00,16.7
15/02/2022,03:10,7.83,0.12,18.4,6.78,0.00,16.6
15/02/2022,03:20,7.83,0.11,18.3,6.78,0.01,16.6
15/02/2022,03:30,7.82,0.12,18.3,6.77,0.00,16.6
15/02/2022,03:40,7.82,0.11,18.3,6.77,0.00,16.5
15/02/2022,03:50,7.82,0.11,18.2,6.77,0.01,16.2
15/02/2022,04:00,7.82,0.11,18.1,6.77,0.01,16.2
15/02/2022,04:10,7.82,0.11,18.0,6.76,0.00,16.0
15/02/2022,04:20,7.81,0.11,17.9,6.77,0.00,16.0
15/02/2022,04:30,7.81,0.11,17.8,6.77,0.01,16.0
15/02/2022,04:40,7.81,0.11,17.8,6.77,0.01,16.0
15/02/2022,04:50,7.81,0.11,17.8,6.77,0.01,16.0
15/02/2022,05:00,7.80,0.11,17.7,6.77,0.01,15.9
15/02/2022,05:10,7.79,0.11,17.6,6.77,0.00,15.8
15/02/2022,05:20,7.78,0.11,17.5,6.76,0.01,15.6
15/02/2022,05:30,7.77,0.12,17.4,6.76,0.01,15.6
15/02/2022,05:40,7.76,0.11,17.5,6.73,0.00,15.6
15/02/2022,05:50,7.76,0.11,17.4,6.75,0.00,15.5
15/02/2022,06:00,7.76,0.11,17.5,6.74,0.00,15.6
15/02/2022,06:10,7.77,0.11,17.6,6.76,0.00,15.4
15/02/2022,06:20,7.76,0.11,17.5,6.76,0.01,15.5
15/02/2022,06:30,7.75,0.11,17.5,6.76,0.00,15.5
15/02/2022,06:40,7.76,0.11,17.7,6.76,0.00,15.4
15/02/2022,06:50,7.76,0.11,17.7,6.77,0.01,15.6
15/02/2022,07:00,7.76,0.11,17.8,6.77,0.00,15.7
15/02/2022,07:10,7.78,0.11,17.9,6.77,0.01,15.8
15/02/2022,07:20,7.77,0.10,18.0,6.77,0.00,16.0
15/02/2022,07:30,7.78,0.11,18.2,6.78,0.00,16.2
15/02/2022,07:40,7.80,0.11,18.4,6.78,0.00,16.4
15/02/2022,07:50,7.80,0.11,18.6,6.78,0.01,16.7
15/02/2022,08:00,7.81,0.11,18.8,6.79,0.01,17.0
15/02/2022,08:10,7.83,0.11,19.1,6.85,0.01,17.3
15/02/2022,08:20,7.82,0.11,19.4,6.86,0.01,17.8
15/02/2022,08:30,7.83,0.12,19.8,6.94,0.01,18.2
15/02/2022,08:40,7.82,0.10,20.1,6.95,0.01,18.6
15/02/2022,08:50,7.83,0.12,20.5,6.98,0.01,19.0
15/02/2022,09:00,7.85,0.11,20.8,7.02,0.01,19.4
15/02/2022,09:10,7.86,0.11,21.1,7.03,0.00,19.9
15/02/2022,09:20,7.88,0.11,21.5,7.03,0.01,20.2
15/02/2022,09:30,7.90,0.11,22.0,7.04,0.01,20.7
15/02/2022,09:40,7.91,0.10,23.1,7.07,0.01,21.4
15/02/2022,09:50,8.07,0.10,27.6,7.19,0.01,23.7
15/02/2022,10:00,8.13,0.09,30.5,7.37,0.00,29.4
15/02/2022,10:10,8.17,0.09,32.2,7.46,0.01,32.5
15/02/2022,10:20,8.25,0.09,33.2,7.49,0.01,33.8
15/02/2022,10:30,8.24,0.09,33.7,7.47,0.00,34.3
15/02/2022,10:40,8.25,0.09,34.4,7.48,0.01,34.8
15/02/2022,10:50,8.27,0.09,34.6,7.46,0.00,34.6
15/02/2022,11:00,8.27,0.09,34.5,7.45,0.01,34.6
15/02/2022,11:10,8.23,0.09,34.1,7.38,0.01,34.0
15/02/2022,11:20,8.17,0.09,33.6,7.39,0.01,34.5
15/02/2022,11:30,8.16,0.09,33.4,7.38,0.01,34.5
15/02/2022,11:40,8.19,0.09,34.5,7.39,0.01,34.8
15/02/2022,11:50,8.20,0.09,35.3,7.41,0.01,35.9
15/02/2022,12:00,8.16,0.08,34.8,7.45,0.01,37.1
15/02/2022,12:10,8.08,0.09,34.3,7.45,0.01,38.2
15/02/2022,12:20,8.16,0.09,36.2,7.46,0.01,39.6
15/02/2022,12:30,8.18,0.09,37.5,7.47,0.01,40.9
15/02/2022,12:40,8.17,0.09,38.0,7.44,0.01,40.4
15/02/2022,12:50,8.15,0.08,38.0,7.27,0.01,37.5
15/02/2022,13:00,8.10,0.08,37.5,7.17,0.00,35.2
15/02/2022,13:10,8.05,0.09,36.2,7.11,0.01,33.6
15/02/2022,13:20,7.91,0.09,33.7,7.03,0.01,32.4
15/02/2022,13:30,7.85,0.09,32.5,7.01,0.01,31.9
15/02/2022,13:40,7.82,0.08,31.8,7.03,0.01,32.9
15/02/2022,13:50,7.78,0.09,31.4,7.07,0.01,33.8
15/02/2022,14:00,7.75,0.09,31.5,7.10,0.00,35.0
15/02/2022,14:10,7.73,0.08,31.4,7.05,0.01,34.9
15/02/2022,14:20,7.73,0.08,31.6,7.04,0.01,35.2
15/02/2022,14:30,7.72,0.08,31.7,7.03,0.00,35.5
15/02/2022,14:40,7.70,0.09,31.6,7.06,0.01,36.8
15/02/2022,14:50,7.68,0.08,31.6,7.10,0.01,38.2
15/02/2022,15:00,7.67,0.08,31.9,7.12,0.01,40.0
15/02/2022,15:08,7.66,0.08,32.0,7.17,0.01,41.2
15/02/2022,15:10,7.66,0.08,32.1,7.15,0.00,41.3
15/02/2022,15:12,7.66,0.08,32.1,7.14,0.01,41.3
15/02/2022,15:14,7.66,0.08,32.1,7.13,0.01,41.2
15/02/2022,15:16,7.65,0.08,32.0,7.14,0.01,41.2
15/02/2022,15:18,7.64,0.08,32.1,7.12,0.00,41.2
15/02/2022,15:20,7.61,0.09,31.9,7.12,0.01,41.0
15/02/2022,15:22,7.60,0.08,31.8,7.11,0.01,40.4
15/02/2022,15:24,7.59,0.08,31.8,7.05,0.01,39.6
15/02/2022,15:26,7.59,0.08,31.8,7.04,0.00,39.5
15/02/2022,15:28,7.60,0.08,31.7,7.03,0.01,39.0
15/02/2022,15:30,7.58,0.08,31.6,7.03,0.01,38.9
15/02/2022,15:32,7.59,0.08,31.5,7.04,0.01,39.4
15/02/2022,15:34,7.62,0.08,31.5,7.10,0.00,39.7
15/02/2022,15:36,7.62,0.08,31.5,7.09,0.01,39.7
15/02/2022,15:38,7.63,0.08,31.5,7.04,0.01,38.9
15/02/2022,15:40,7.61,0.08,31.4,7.05,0.01,38.8
15/02/2022,15:42,7.61,0.08,31.3,7.03,0.00,38.4
15/02/2022,15:44,7.61,0.08,31.3,7.03,0.01,38.4
15/02/2022,15:46,7.60,0.08,31.3,7.03,0.00,38.9
15/02/2022,15:48,7.59,0.08,31.3,7.05,0.01,39.4
15/02/2022,15:50,7.59,0.08,31.3,7.04,0.01,39.5
15/02/2022,15:52,7.60,0.08,31.3,7.03,0.00,38.9
15/02/2022,15:54,7.59,0.08,31.5,7.01,0.01,38.2
15/02/2022,15:56,7.61,0.08,31.6,6.98,0.01,37.9
15/02/2022,15:58,7.61,0.08,31.7,6.95,0.01,37.5
