data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
17/02/2022,00:00,8.13,0.16,23.3,6.94,0.01,21.9
17/02/2022,00:10,8.14,0.16,23.3,7.03,0.01,21.9
17/02/2022,00:20,8.13,0.16,23.2,7.19,0.00,21.9
17/02/2022,00:30,8.14,0.16,23.1,7.26,0.01,21.7
17/02/2022,00:40,8.14,0.16,23.0,7.29,0.01,21.5
17/02/2022,00:50,8.14,0.16,22.9,7.32,0.01,21.4
17/02/2022,01:00,8.15,0.16,22.8,7.35,0.01,21.5
17/02/2022,01:10,8.15,0.16,22.9,7.36,0.01,21.5
17/02/2022,01:20,8.15,0.16,22.8,7.36,0.01,21.4
17/02/2022,01:30,8.14,0.16,22.8,7.35,0.01,21.4
17/02/2022,01:40,8.15,0.16,22.8,7.33,0.01,21.3
17/02/2022,01:50,8.14,0.16,22.8,7.33,0.01,21.3
17/02/2022,02:00,8.15,0.15,22.7,7.32,0.01,21.2
17/02/2022,02:10,8.15,0.16,22.7,7.31,0.01,21.1
17/02/2022,02:20,8.15,0.16,22.6,7.29,0.01,21.1
17/02/2022,02:30,8.15,0.16,22.6,7.29,0.01,21.0
17/02/2022,02:40,8.15,0.16,22.6,7.29,0.01,21.1
17/02/2022,02:50,8.15,0.16,22.5,7.28,0.01,20.9
17/02/2022,03:00,8.14,0.16,22.4,7.28,0.01,20.8
17/02/2022,03:10,8.12,0.16,22.4,7.28,0.01,20.8
17/02/2022,03:20,8.12,0.16,22.3,7.28,0.01,20.8
17/02/2022,03:30,8.11,0.16,22.3,7.27,0.01,20.7
17/02/2022,03:40,8.12,0.16,22.3,7.24,0.01,20.6
17/02/2022,03:50,8.10,0.16,22.2,7.25,0.00,20.7
17/02/2022,04:00,8.09,0.16,22.2,7.23,0.01,20.7
17/02/2022,04:10,8.09,0.16,22.1,7.21,0.00,20.6
17/02/2022,04:20,8.09,0.16,22.2,7.21,0.01,20.7
17/02/2022,04:30,8.08,0.16,22.1,7.20,0.01,20.6
17/02/2022,04:40,8.08,0.16,22.1,7.20,0.01,20.6
17/02/2022,04:50,8.08,0.16,22.1,7.20,0.00,20.5
17/02/2022,05:00,8.08,0.16,22.1,7.20,0.01,20.5
17/02/2022,05:10,8.07,0.16,22.1,7.20,0.01,20.5
17/02/2022,05:20,8.07,0.16,22.0,7.20,0.01,20.3
17/02/2022,05:30,8.07,0.16,21.8,7.19,0.01,20.0
17/02/2022,05:40,8.07,0.15,21.6,7.16,0.01,19.7
17/02/2022,05:50,8.06,0.16,21.4,7.13,0.01,19.3
17/02/2022,06:00,8.06,0.16,21.4,7.13,0.01,19.3
17/02/2022,06:10,8.05,0.16,21.3,7.12,0.01,19.4
17/02/2022,06:20,8.04,0.16,21.3,7.11,0.01,19.3
17/02/2022,06:30,8.04,0.16,21.3,7.12,0.00,19.4
17/02/2022,06:40,8.05,0.16,21.3,7.11,0.01,19.4
17/02/2022,06:50,8.05,0.16,21.4,7.11,0.01,19.4
17/02/2022,07:00,8.05,0.16,21.4,7.11,0.01,19.7
17/02/2022,07:10,8.05,0.16,21.6,7.11,0.01,20.1
17/02/2022,07:20,8.06,0.15,21.9,7.11,0.01,20.5
17/02/2022,07:30,8.07,0.16,22.1,7.12,0.01,20.7
17/02/2022,07:40,8.06,0.16,22.2,7.11,0.01,20.7
17/02/2022,07:50,8.07,0.16,22.4,7.11,0.01,20.9
17/02/2022,08:00,8.07,0.15,22.6,7.12,0.01,21.1
17/02/2022,08:10,8.07,0.15,22.8,7.20,0.01,21.4
17/02/2022,08:20,8.07,0.16,23.0,7.41,0.01,21.8
17/02/2022,08:30,8.07,0.16,23.0,7.54,0.01,21.7
17/02/2022,08:40,8.08,0.15,23.0,7.54,0.01,21.7
17/02/2022,08:50,8.08,0.16,23.0,7.54,0.01,21.9
17/02/2022,09:00,8.08,0.15,23.1,7.54,0.01,22.1
17/02/2022,09:10,8.09,0.15,23.3,7.54,0.01,22.3
17/02/2022,09:20,8.09,0.15,23.6,7.54,0.01,22.5
17/02/2022,09:30,8.14,0.15,24.5,7.55,0.01,23.1
17/02/2022,09:40,8.19,0.15,26.3,7.54,0.01,23.7
17/02/2022,09:50,8.31,0.14,29.7,7.61,0.01,25.5
17/02/2022,10:00,8.40,0.14,32.1,7.80,0.00,31.7
17/02/2022,10:10,8.44,0.14,33.8,7.88,0.01,35.0
17/02/2022,10:20,8.50,0.14,34.9,7.88,0.01,36.5
17/02/2022,10:30,8.50,0.14,35.8,7.88,0.01,37.2
17/02/2022,10:40,8.51,0.13,36.3,7.87,0.01,37.3
17/02/2022,10:50,8.49,0.13,36.5,7.82,0.01,37.9
17/02/2022,11:00,8.45,0.13,36.3,7.80,0.01,38.2
17/02/2022,11:10,8.46,0.13,37.0,7.75,0.01,38.1
17/02/2022,11:20,8.41,0.13,36.7,7.68,0.01,37.3
17/02/2022,11:30,8.40,0.13,36.4,7.63,0.00,37.3
17/02/2022,11:40,8.42,0.13,37.8,7.63,0.01,38.2
17/02/2022,11:50,8.40,0.12,38.3,7.62,0.01,39.2
17/02/2022,12:00,8.34,0.13,37.6,7.61,0.01,40.6
17/02/2022,12:10,8.31,0.13,37.2,7.59,0.01,41.7
17/02/2022,12:20,8.39,0.12,39.4,7.58,0.01,43.3
17/02/2022,12:30,8.42,0.12,40.9,7.54,0.01,43.5
17/02/2022,12:40,8.41,0.12,41.5,7.48,0.01,43.6
17/02/2022,12:50,8.34,0.12,40.7,7.46,0.00,43.6
17/02/2022,13:00,8.28,0.12,40.4,7.43,0.01,43.7
17/02/2022,13:10,8.25,0.12,40.6,7.34,0.01,42.8
17/02/2022,13:20,8.13,0.12,38.6,7.22,0.01,41.3
17/02/2022,13:30,8.01,0.12,35.9,7.11,0.01,38.6
17/02/2022,13:40,7.91,0.11,34.5,7.03,0.01,37.7
17/02/2022,13:50,7.88,0.11,34.1,7.01,0.01,38.3
17/02/2022,14:00,7.66,0.11,33.2,7.03,0.01,38.7
17/02/2022,14:10,7.61,0.12,32.4,6.97,0.01,38.6
17/02/2022,14:20,7.59,0.12,32.1,6.98,0.01,39.3
17/02/2022,14:30,7.58,0.12,32.3,7.03,0.01,41.2
17/02/2022,14:40,7.58,0.12,32.5,7.03,0.01,42.2
17/02/2022,14:50,7.58,0.12,32.6,6.92,0.01,40.2
17/02/2022,15:00,7.54,0.12,31.9,6.77,0.01,35.9
17/02/2022,15:10,7.51,0.12,31.2,6.69,0.01,34.4
17/02/2022,15:20,7.55,0.12,32.0,6.77,0.01,38.2
17/02/2022,15:30,7.51,0.12,31.9,6.77,0.00,39.4
17/02/2022,15:40,7.51,0.12,31.8,6.77,0.01,40.9
17/02/2022,15:50,7.51,0.11,32.0,6.71,0.01,40.5
17/02/2022,16:00,7.50,0.11,32.1,6.61,0.00,38.3
17/02/2022,16:10,7.48,0.11,31.7,6.54,0.01,36.3
17/02/2022,16:20,7.48,0.12,31.8,6.61,0.00,39.4
17/02/2022,16:30,7.49,0.12,31.8,6.62,0.01,40.5
17/02/2022,16:40,7.46,0.12,31.7,6.47,0.01,36.8
17/02/2022,16:50,7.45,0.11,31.6,6.38,0.01,34.9
17/02/2022,17:00,7.42,0.12,31.0,6.28,0.01,32.4
17/02/2022,17:10,7.42,0.12,30.3,6.20,0.01,30.8
17/02/2022,17:20,7.40,0.12,30.2,6.29,0.00,31.6
17/02/2022,17:30,7.42,0.12,30.5,6.46,0.01,32.6
17/02/2022,17:40,7.41,0.12,30.6,6.70,0.01,32.9
17/02/2022,17:50,7.41,0.12,30.6,6.78,0.01,32.3
17/02/2022,18:00,7.40,0.12,30.3,6.79,0.01,31.4
17/02/2022,18:10,7.39,0.12,30.0,6.78,0.01,30.7
17/02/2022,18:20,7.36,0.12,29.8,6.78,0.01,30.1
17/02/2022,18:30,7.34,0.12,29.4,6.77,0.01,28.8
17/02/2022,18:40,7.32,0.13,28.8,6.70,0.01,27.7
17/02/2022,18:50,7.32,0.12,28.4,6.69,0.01,26.9
17/02/2022,19:00,7.27,0.11,28.0,6.67,0.01,26.6
17/02/2022,19:10,7.28,0.12,27.8,6.69,0.01,26.4
17/02/2022,19:20,7.26,0.12,27.6,6.86,0.01,26.0
17/02/2022,19:30,7.25,0.13,27.2,6.97,0.01,25.5
17/02/2022,19:40,7.24,0.12,26.9,7.03,0.01,25.1
17/02/2022,19:50,7.24,0.13,26.7,7.04,0.01,24.9
17/02/2022,20:00,7.23,0.12,26.5,7.06,0.01,24.8
17/02/2022,20:10,7.24,0.13,26.3,7.06,0.00,24.6
17/02/2022,20:20,7.23,0.12,26.2,7.09,0.01,24.6
17/02/2022,20:30,7.23,0.13,26.3,7.09,0.01,24.7
17/02/2022,20:40,7.23,0.12,26.3,7.08,0.01,24.6
17/02/2022,20:50,7.22,0.13,26.2,7.08,0.01,24.4
17/02/2022,21:00,7.21,0.12,26.1,7.06,0.01,24.2
17/02/2022,21:10,7.20,0.12,26.0,7.04,0.01,24.1
17/02/2022,21:20,7.19,0.12,25.9,7.04,0.01,24.0
17/02/2022,21:30,7.19,0.13,25.8,7.03,0.01,24.0
17/02/2022,21:40,7.18,0.13,25.7,7.03,0.01,24.0
17/02/2022,21:50,7.19,0.13,25.7,7.03,0.01,23.9
17/02/2022,22:00,7.18,0.12,25.6,7.03,0.01,23.8
17/02/2022,22:10,7.19,0.12,25.6,7.03,0.01,23.7
17/02/2022,22:20,7.17,0.12,25.5,7.02,0.01,23.7
17/02/2022,22:30,7.18,0.12,25.5,7.02,0.01,23.8
17/02/2022,22:40,7.18,0.12,25.4,7.02,0.01,23.8
17/02/2022,22:50,7.16,0.13,25.4,7.00,0.01,23.6
17/02/2022,23:00,7.17,0.12,25.2,6.98,0.01,23.5
17/02/2022,23:10,7.16,0.12,25.2,6.96,0.01,23.3
17/02/2022,23:20,7.16,0.13,25.0,6.95,0.01,23.1
17/02/2022,23:30,7.15,0.13,25.0,6.94,0.01,23.1
17/02/2022,23:40,7.15,0.12,24.8,6.94,0.01,22.9
17/02/2022,23:50,7.14,0.12,24.8,6.93,0.00,22.7
