data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
24/02/2022,00:00,5.44,0.03,25.2,6.79,0.01,23.2
24/02/2022,00:10,5.48,0.04,25.1,6.86,0.01,23.1
24/02/2022,00:20,5.44,0.03,25.0,6.87,0.01,23.1
24/02/2022,00:30,5.43,0.03,25.0,6.89,0.01,22.9
24/02/2022,00:40,5.43,0.03,24.8,6.94,0.01,22.7
24/02/2022,00:50,5.43,0.03,24.7,6.94,0.01,22.5
24/02/2022,01:00,5.42,0.03,24.6,6.94,0.01,22.4
24/02/2022,01:10,5.42,0.03,24.4,6.95,0.01,22.2
24/02/2022,01:20,5.42,0.03,24.2,6.96,0.01,22.1
24/02/2022,01:30,5.41,0.03,24.0,6.97,0.00,22.0
24/02/2022,01:40,5.40,0.04,24.0,6.99,0.00,21.9
24/02/2022,01:50,5.40,0.04,23.8,7.02,0.00,21.8
24/02/2022,02:00,5.40,0.04,23.8,7.02,0.01,21.7
24/02/2022,02:10,5.40,0.04,23.7,6.99,0.01,21.6
24/02/2022,02:20,5.39,0.03,23.6,6.99,0.01,21.5
24/02/2022,02:30,5.39,0.03,23.5,6.99,0.01,21.5
24/02/2022,02:40,5.38,0.03,23.5,7.00,0.01,21.5
24/02/2022,02:50,5.39,0.04,23.4,7.02,0.01,21.4
24/02/2022,03:00,5.38,0.03,23.4,7.02,0.01,21.4
24/02/2022,03:10,5.38,0.03,23.2,7.03,0.01,21.3
24/02/2022,03:20,5.37,0.03,23.2,7.03,0.00,21.3
24/02/2022,03:30,5.37,0.04,23.2,7.03,0.01,21.2
24/02/2022,03:40,5.36,0.04,23.1,7.03,0.01,21.2
24/02/2022,03:50,5.37,0.04,23.1,7.03,0.01,21.1
24/02/2022,04:00,5.37,0.03,22.9,7.03,0.01,21.1
24/02/2022,04:10,5.36,0.03,22.9,7.03,0.01,21.0
24/02/2022,04:20,5.37,0.03,22.9,7.03,0.00,21.0
24/02/2022,04:30,5.36,0.04,22.7,7.03,0.01,20.9
24/02/2022,04:40,5.36,0.03,22.7,7.04,0.01,20.9
24/02/2022,04:50,5.36,0.03,22.7,7.03,0.01,20.8
24/02/2022,05:00,5.36,0.04,22.6,7.03,0.01,20.7
24/02/2022,05:10,5.36,0.03,22.6,7.03,0.00,20.7
24/02/2022,05:20,5.36,0.03,22.5,7.03,0.00,20.7
24/02/2022,05:30,5.36,0.03,22.5,7.03,0.01,20.6
24/02/2022,05:40,5.36,0.04,22.5,7.04,0.01,20.6
24/02/2022,05:50,5.36,0.03,22.5,7.04,0.01,20.6
24/02/2022,06:00,5.36,0.04,22.4,7.04,0.00,20.5
24/02/2022,06:10,5.35,0.03,22.3,7.03,0.01,20.5
24/02/2022,06:20,5.36,0.03,22.3,7.04,0.01,20.5
24/02/2022,06:30,5.35,0.03,22.3,7.04,0.01,20.5
24/02/2022,06:40,5.36,0.03,22.2,7.05,0.01,20.5
24/02/2022,06:50,5.35,0.03,22.2,7.06,0.01,20.5
24/02/2022,07:00,5.36,0.03,22.3,7.06,0.01,20.6
24/02/2022,07:10,5.36,0.03,22.3,7.07,0.01,20.7
24/02/2022,07:20,5.36,0.03,22.4,7.07,0.01,20.8
24/02/2022,07:30,5.36,0.03,22.5,7.09,0.00,21.0
24/02/2022,07:40,5.37,0.03,22.6,7.10,0.01,21.1
24/02/2022,07:50,5.38,0.03,22.8,7.10,0.01,21.4
24/02/2022,08:00,5.37,0.03,22.9,7.11,0.01,21.5
24/02/2022,08:10,5.40,0.03,23.1,7.12,0.01,21.8
24/02/2022,08:20,5.41,0.03,23.5,7.20,0.01,22.2
24/02/2022,08:30,5.40,0.03,23.6,7.28,0.01,22.3
24/02/2022,08:40,5.42,0.03,23.8,7.28,0.01,22.5
24/02/2022,08:50,5.41,0.04,24.0,7.34,0.01,22.7
24/02/2022,09:00,5.42,0.03,24.2,7.35,0.01,22.9
24/02/2022,09:10,5.42,0.03,24.5,7.37,0.01,23.2
24/02/2022,09:20,5.43,0.03,24.8,7.41,0.01,23.7
24/02/2022,09:30,5.45,0.03,25.6,7.45,0.01,24.4
24/02/2022,09:40,5.48,0.03,26.9,7.54,0.01,27.4
24/02/2022,09:50,5.50,0.03,27.7,7.71,0.00,31.4
24/02/2022,10:00,5.52,0.02,28.6,7.71,0.01,33.5
24/02/2022,10:10,5.54,0.03,29.3,7.71,0.01,34.5
24/02/2022,10:20,5.55,0.03,29.7,7.64,0.01,34.4
24/02/2022,10:30,5.49,0.02,29.9,7.62,0.00,34.5
24/02/2022,10:40,5.51,0.03,30.4,7.61,0.01,35.2
24/02/2022,10:50,5.51,0.03,30.8,7.59,0.01,35.4
24/02/2022,11:00,5.55,0.02,31.5,7.56,0.00,35.8
24/02/2022,11:10,5.53,0.03,31.8,7.54,0.01,36.1
24/02/2022,11:20,5.55,0.03,32.3,7.55,0.01,36.8
24/02/2022,11:30,5.55,0.03,32.7,7.54,0.01,37.6
24/02/2022,11:40,5.55,0.03,32.7,7.50,0.01,38.2
24/02/2022,11:50,5.56,0.02,32.7,7.46,0.01,39.3
24/02/2022,12:00,5.55,0.03,32.5,7.38,0.01,38.9
24/02/2022,12:10,5.54,0.03,32.3,7.37,0.01,40.0
24/02/2022,12:20,5.54,0.02,32.5,7.36,0.01,41.6
24/02/2022,12:30,5.52,0.03,32.5,7.27,0.01,41.2
24/02/2022,12:40,5.53,0.02,32.7,7.20,0.01,41.8
24/02/2022,12:50,5.52,0.03,33.0,7.12,0.01,41.6
24/02/2022,13:00,5.53,0.02,33.2,7.01,0.01,39.6
24/02/2022,13:10,5.52,0.03,33.1,6.93,0.00,39.0
24/02/2022,13:20,5.53,0.02,33.2,6.86,0.01,38.8
24/02/2022,13:30,5.52,0.02,33.2,6.80,0.01,38.9
24/02/2022,13:40,5.52,0.02,33.3,6.71,0.01,38.2
24/02/2022,13:50,5.51,0.02,33.1,6.61,0.01,37.1
24/02/2022,14:00,5.50,0.02,33.1,6.58,0.00,37.5
24/02/2022,14:10,5.49,0.02,33.3,6.54,0.00,38.6
24/02/2022,14:20,5.49,0.02,33.3,6.52,0.00,39.0
24/02/2022,14:30,5.49,0.02,33.5,6.46,0.01,39.6
24/02/2022,14:40,5.49,0.02,33.6,6.40,0.01,39.0
24/02/2022,14:50,5.47,0.02,33.4,6.29,0.00,37.3
24/02/2022,15:00,5.44,0.02,33.1,6.20,0.00,35.9
24/02/2022,15:10,5.44,0.02,33.2,6.20,0.00,36.7
24/02/2022,15:20,5.45,0.02,33.3,6.12,0.00,36.1
24/02/2022,15:30,5.43,0.02,33.3,6.09,0.00,35.9
24/02/2022,15:40,5.43,0.02,33.3,6.04,0.00,35.5
24/02/2022,15:50,5.41,0.02,33.2,6.00,0.00,35.4
24/02/2022,16:00,5.41,0.02,33.0,5.94,0.01,34.4
24/02/2022,16:10,5.40,0.02,32.7,5.88,0.00,33.8
24/02/2022,16:20,5.40,0.02,32.6,5.88,0.00,33.7
24/02/2022,16:30,5.41,0.02,32.9,5.87,0.00,34.6
24/02/2022,16:40,5.39,0.02,32.9,5.84,0.00,35.0
24/02/2022,16:50,5.40,0.02,33.1,5.81,0.00,35.3
24/02/2022,17:00,5.38,0.02,32.9,5.73,0.00,33.8
24/02/2022,17:10,5.39,0.02,32.6,5.71,0.01,33.3
24/02/2022,17:20,5.36,0.02,32.1,5.68,0.00,32.4
24/02/2022,17:30,5.35,0.02,31.8,5.68,0.00,31.8
24/02/2022,17:40,5.34,0.02,31.5,5.74,0.00,31.4
24/02/2022,17:50,5.34,0.02,31.2,5.81,0.00,31.0
24/02/2022,18:00,5.31,0.02,31.0,5.85,0.01,30.6
24/02/2022,18:10,5.31,0.02,30.8,5.88,0.01,30.3
24/02/2022,18:20,5.31,0.02,30.5,5.88,0.01,29.9
24/02/2022,18:30,5.28,0.02,30.3,5.88,0.01,29.4
24/02/2022,18:40,5.29,0.02,30.1,5.89,0.01,29.0
24/02/2022,18:50,5.28,0.02,29.8,5.88,0.01,28.8
24/02/2022,19:00,5.27,0.02,29.6,5.88,0.01,28.5
24/02/2022,19:10,5.27,0.02,29.4,5.89,0.00,28.3
24/02/2022,19:20,5.25,0.02,29.2,5.96,0.01,28.2
24/02/2022,19:30,5.25,0.01,29.1,5.98,0.00,27.9
24/02/2022,19:40,5.25,0.02,29.0,6.02,0.01,27.4
24/02/2022,19:50,5.21,0.02,28.1,6.00,0.01,26.0
24/02/2022,20:00,5.20,0.02,27.7,6.03,0.01,25.9
24/02/2022,20:10,5.21,0.02,27.5,6.05,0.00,25.9
24/02/2022,20:20,5.18,0.03,26.9,6.08,0.01,25.1
