data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
20/02/2022,00:00,6.15,0.08,24.5,6.20,0.01,22.2
20/02/2022,00:10,6.15,0.07,24.4,6.23,0.01,22.1
20/02/2022,00:20,6.12,0.07,24.3,6.29,0.01,22.1
20/02/2022,00:30,6.13,0.08,24.2,6.36,0.00,21.9
20/02/2022,00:40,6.10,0.08,24.0,6.36,0.01,21.7
20/02/2022,00:50,6.09,0.08,23.9,6.37,0.01,21.6
20/02/2022,01:00,6.10,0.08,23.8,6.38,0.01,21.5
20/02/2022,01:10,6.09,0.07,23.8,6.40,0.01,21.5
20/02/2022,01:20,6.09,0.08,23.7,6.42,0.01,21.3
20/02/2022,01:30,6.09,0.08,23.6,6.43,0.01,21.2
20/02/2022,01:40,6.08,0.08,23.5,6.43,0.01,21.1
20/02/2022,01:50,6.08,0.08,23.4,6.44,0.01,21.1
20/02/2022,02:00,6.09,0.07,23.3,6.44,0.01,21.0
20/02/2022,02:10,6.08,0.08,23.2,6.44,0.01,20.9
20/02/2022,02:20,6.08,0.08,23.2,6.44,0.01,20.9
20/02/2022,02:30,6.08,0.08,23.1,6.44,0.01,20.8
20/02/2022,02:40,6.08,0.08,23.1,6.44,0.01,20.7
20/02/2022,02:50,6.08,0.07,22.9,6.44,0.00,20.7
20/02/2022,03:00,6.08,0.08,22.9,6.44,0.01,20.6
20/02/2022,03:10,6.07,0.07,22.8,6.44,0.01,20.5
20/02/2022,03:20,6.06,0.07,22.7,6.44,0.01,20.5
20/02/2022,03:30,6.07,0.07,22.7,6.44,0.01,20.4
20/02/2022,03:40,6.07,0.07,22.6,6.44,0.01,20.3
20/02/2022,03:50,6.06,0.07,22.5,6.44,0.01,20.1
20/02/2022,04:00,6.05,0.07,22.4,6.44,0.01,20.1
20/02/2022,04:10,6.05,0.08,22.3,6.44,0.00,20.0
20/02/2022,04:20,6.04,0.08,22.3,6.44,0.01,19.9
20/02/2022,04:30,6.04,0.07,22.1,6.44,0.01,19.7
20/02/2022,04:40,6.03,0.07,21.9,6.44,0.01,19.4
20/02/2022,04:50,6.02,0.08,21.7,6.43,0.01,19.1
20/02/2022,05:00,6.02,0.08,21.7,6.43,0.01,19.1
20/02/2022,05:10,6.01,0.07,21.6,6.42,0.01,19.1
20/02/2022,05:20,6.01,0.08,21.5,6.44,0.01,19.0
20/02/2022,05:30,6.01,0.07,21.4,6.43,0.01,18.9
20/02/2022,05:40,6.01,0.07,21.4,6.42,0.01,18.9
20/02/2022,05:50,6.01,0.08,21.3,6.42,0.01,18.8
20/02/2022,06:00,6.01,0.07,21.3,6.41,0.01,18.8
20/02/2022,06:10,6.01,0.07,21.2,6.40,0.01,18.8
20/02/2022,06:20,6.01,0.07,21.1,6.39,0.01,18.6
20/02/2022,06:30,6.01,0.08,21.1,6.40,0.01,18.7
20/02/2022,06:40,6.01,0.07,21.2,6.41,0.00,18.8
20/02/2022,06:50,6.01,0.08,21.3,6.41,0.01,19.0
20/02/2022,07:00,6.01,0.08,21.4,6.44,0.01,19.2
20/02/2022,07:10,6.02,0.07,21.6,6.44,0.00,19.5
20/02/2022,07:20,6.03,0.07,21.7,6.44,0.00,19.9
20/02/2022,07:30,6.04,0.08,21.9,6.44,0.01,20.5
20/02/2022,07:40,6.05,0.07,22.1,6.45,0.00,20.9
20/02/2022,07:50,6.05,0.07,22.4,6.45,0.01,21.2
20/02/2022,08:00,6.06,0.08,22.7,6.47,0.01,21.8
20/02/2022,08:10,6.08,0.08,23.0,6.53,0.01,22.3
20/02/2022,08:20,6.09,0.07,23.5,6.61,0.01,23.1
20/02/2022,08:30,6.09,0.07,23.6,6.67,0.01,22.7
20/02/2022,08:40,6.08,0.07,23.5,6.69,0.01,22.2
20/02/2022,08:50,6.08,0.08,23.3,6.69,0.01,21.8
20/02/2022,09:00,6.08,0.07,22.5,6.77,0.01,21.0
20/02/2022,09:10,6.08,0.08,22.2,6.78,0.01,21.0
20/02/2022,09:20,6.08,0.08,22.1,6.82,0.01,21.3
20/02/2022,09:30,6.08,0.07,22.3,6.86,0.01,21.8
20/02/2022,09:40,6.08,0.07,22.4,6.86,0.01,22.0
20/02/2022,09:50,6.08,0.07,22.5,6.86,0.01,22.1
20/02/2022,10:00,6.08,0.07,22.5,6.86,0.01,22.1
20/02/2022,10:10,6.09,0.07,22.8,6.87,0.01,22.6
20/02/2022,10:20,6.10,0.07,23.0,6.90,0.01,23.1
20/02/2022,10:30,6.09,0.07,23.1,6.93,0.01,23.4
20/02/2022,10:40,6.10,0.07,23.2,6.90,0.01,23.1
20/02/2022,10:50,6.10,0.07,23.3,6.89,0.01,22.9
20/02/2022,11:00,6.12,0.07,23.4,6.88,0.01,23.1
20/02/2022,11:10,6.14,0.07,23.8,6.94,0.01,24.2
20/02/2022,11:20,6.16,0.07,24.6,7.03,0.01,26.6
20/02/2022,11:30,6.17,0.07,25.4,7.04,0.01,27.8
20/02/2022,11:40,6.16,0.07,25.5,7.02,0.01,27.3
20/02/2022,11:50,6.19,0.06,26.0,7.03,0.01,28.2
20/02/2022,12:00,6.21,0.07,26.7,7.04,0.01,29.6
20/02/2022,12:10,6.20,0.06,27.0,7.03,0.01,29.2
20/02/2022,12:20,6.23,0.06,27.4,7.03,0.01,30.1
20/02/2022,12:30,6.24,0.06,28.0,7.08,0.01,31.4
20/02/2022,12:40,6.25,0.06,28.8,7.08,0.01,32.8
20/02/2022,12:50,6.25,0.06,29.1,7.03,0.01,32.2
20/02/2022,13:00,6.24,0.06,28.7,6.95,0.01,30.4
20/02/2022,13:10,6.22,0.06,28.2,6.87,0.01,29.0
20/02/2022,13:20,6.21,0.07,27.9,6.86,0.01,27.9
20/02/2022,13:30,6.21,0.07,27.5,6.82,0.01,27.1
20/02/2022,13:40,6.18,0.06,27.5,6.86,0.01,28.3
20/02/2022,13:50,6.23,0.06,28.2,6.86,0.01,29.4
20/02/2022,14:00,6.23,0.07,28.4,6.86,0.01,29.0
20/02/2022,14:10,6.20,0.06,27.8,6.82,0.01,27.3
20/02/2022,14:20,6.17,0.07,27.3,6.81,0.01,26.5
20/02/2022,14:30,6.16,0.07,27.0,6.85,0.01,26.1
20/02/2022,14:40,6.16,0.06,26.7,6.85,0.01,25.6
20/02/2022,14:50,6.14,0.06,26.5,6.85,0.01,25.2
20/02/2022,15:00,6.14,0.07,25.8,6.82,0.01,24.0
20/02/2022,15:10,6.10,0.07,24.8,6.86,0.01,23.0
20/02/2022,15:20,6.09,0.07,24.3,6.86,0.01,22.7
20/02/2022,15:30,6.08,0.07,24.0,6.94,0.01,22.7
20/02/2022,15:40,6.08,0.07,24.0,6.94,0.01,22.9
20/02/2022,15:50,6.08,0.07,24.0,6.95,0.01,22.7
20/02/2022,16:00,6.08,0.07,23.8,6.94,0.00,22.4
20/02/2022,16:10,6.07,0.07,23.5,6.96,0.01,22.0
20/02/2022,16:20,6.07,0.07,23.4,7.03,0.01,21.7
20/02/2022,16:30,6.06,0.07,23.2,7.03,0.01,21.6
20/02/2022,16:40,6.06,0.07,23.1,7.11,0.01,21.6
20/02/2022,16:50,6.06,0.07,23.2,7.11,0.01,21.8
20/02/2022,17:00,6.08,0.07,23.3,7.18,0.01,22.0
20/02/2022,17:10,6.08,0.07,23.2,7.20,0.01,22.0
20/02/2022,17:20,6.08,0.07,23.2,7.22,0.00,22.1
20/02/2022,17:30,6.08,0.07,23.3,7.31,0.01,22.2
20/02/2022,17:40,6.07,0.07,23.0,7.44,0.01,22.0
20/02/2022,17:50,6.05,0.07,22.8,7.48,0.01,21.7
20/02/2022,18:00,6.05,0.07,22.6,7.53,0.01,21.4
20/02/2022,18:10,6.05,0.07,22.5,7.54,0.01,21.4
20/02/2022,18:20,6.05,0.07,22.5,7.54,0.01,21.3
20/02/2022,18:30,6.06,0.07,22.4,7.61,0.01,21.2
20/02/2022,18:40,6.04,0.07,22.4,7.62,0.01,21.3
20/02/2022,18:50,6.07,0.07,22.6,7.62,0.01,21.5
20/02/2022,19:00,6.06,0.07,22.7,7.62,0.01,21.5
20/02/2022,19:10,6.07,0.07,22.6,7.71,0.01,21.4
20/02/2022,19:20,6.07,0.07,22.7,7.88,0.01,21.5
20/02/2022,19:30,6.06,0.07,22.5,7.90,0.01,21.3
20/02/2022,19:40,6.06,0.07,22.5,7.90,0.01,21.3
20/02/2022,19:50,6.07,0.07,22.6,7.89,0.01,21.3
20/02/2022,20:00,6.06,0.07,22.5,7.89,0.01,21.3
20/02/2022,20:10,6.07,0.07,22.7,7.89,0.01,21.3
20/02/2022,20:20,6.06,0.07,22.5,7.88,0.01,21.3
20/02/2022,20:30,6.06,0.07,22.5,7.88,0.01,21.3
20/02/2022,20:40,6.05,0.07,22.5,7.88,0.01,21.4
20/02/2022,20:50,6.06,0.07,22.5,7.88,0.01,21.4
20/02/2022,21:00,6.06,0.07,22.5,7.88,0.01,21.4
20/02/2022,21:10,6.04,0.07,22.4,7.88,0.00,21.3
20/02/2022,21:20,6.03,0.07,22.4,7.88,0.01,21.2
20/02/2022,21:30,6.03,0.07,22.4,7.88,0.01,21.1
20/02/2022,21:40,6.03,0.07,22.4,7.88,0.01,21.1
20/02/2022,21:50,6.04,0.07,22.3,7.88,0.01,21.1
20/02/2022,22:00,6.03,0.07,22.4,7.88,0.01,21.1
20/02/2022,22:10,6.03,0.07,22.4,7.88,0.01,21.2
20/02/2022,22:20,6.05,0.07,22.5,7.88,0.01,21.2
20/02/2022,22:30,6.03,0.07,22.5,7.88,0.01,21.2
20/02/2022,22:40,6.03,0.07,22.5,7.88,0.01,21.3
20/02/2022,22:50,6.03,0.07,22.5,7.88,0.01,21.3
20/02/2022,23:00,6.04,0.07,22.5,7.89,0.01,21.3
20/02/2022,23:10,6.04,0.07,22.5,7.88,0.01,21.3
20/02/2022,23:20,6.04,0.07,22.5,7.88,0.01,21.2
20/02/2022,23:30,6.03,0.07,22.5,7.88,0.01,21.2
