data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
13/02/2022,16:50,9.22,0.12,26.7,6.36,0.01,27.5
13/02/2022,17:00,9.22,0.12,26.5,6.29,0.01,26.7
13/02/2022,17:10,9.23,0.12,26.4,6.34,0.01,26.9
13/02/2022,17:20,9.21,0.12,26.2,6.36,0.01,26.9
13/02/2022,17:30,9.21,0.12,26.1,6.44,0.01,27.4
13/02/2022,17:40,9.18,0.12,25.9,6.45,0.01,26.0
13/02/2022,17:50,9.17,0.12,25.7,6.47,0.01,25.3
13/02/2022,18:00,9.15,0.12,25.4,6.49,0.01,24.8
13/02/2022,18:10,9.14,0.12,25.1,6.50,0.01,24.3
13/02/2022,18:20,9.13,0.12,25.0,6.50,0.01,23.9
13/02/2022,18:30,9.11,0.12,24.9,6.52,0.01,23.5
13/02/2022,18:40,9.07,0.13,24.6,6.51,0.01,23.1
13/02/2022,18:50,9.06,0.12,24.2,6.49,0.01,22.6
13/02/2022,19:00,9.06,0.14,23.9,6.47,0.01,22.2
13/02/2022,19:10,9.06,0.13,23.6,6.48,0.01,21.7
13/02/2022,19:20,9.04,0.13,23.2,6.53,0.01,21.4
13/02/2022,19:30,8.98,0.13,22.8,6.53,0.01,21.0
13/02/2022,19:40,8.98,0.13,22.3,6.54,0.01,20.7
13/02/2022,19:50,8.94,0.13,21.8,6.55,0.01,20.3
13/02/2022,20:00,8.91,0.13,21.5,6.56,0.01,20.0
13/02/2022,20:10,8.90,0.13,21.3,6.58,0.01,19.7
13/02/2022,20:20,8.90,0.13,21.1,6.58,0.01,19.4
13/02/2022,20:30,8.90,0.13,21.0,6.59,0.01,19.2
13/02/2022,20:40,8.89,0.13,20.8,6.60,0.01,19.1
13/02/2022,20:50,8.89,0.12,20.6,6.61,0.01,18.9
13/02/2022,21:00,8.86,0.13,20.4,6.60,0.01,18.8
13/02/2022,21:10,8.84,0.13,20.2,6.61,0.01,18.6
13/02/2022,21:20,8.82,0.13,20.1,6.61,0.01,18.4
13/02/2022,21:30,8.82,0.13,20.0,6.61,0.01,18.3
13/02/2022,21:40,8.81,0.13,19.9,6.61,0.01,18.1
13/02/2022,21:50,8.82,0.13,19.7,6.61,0.01,18.0
13/02/2022,22:00,8.81,0.13,19.4,6.61,0.01,17.8
13/02/2022,22:10,8.81,0.13,19.3,6.61,0.00,17.7
13/02/2022,22:20,8.81,0.13,19.2,6.61,0.00,17.5
13/02/2022,22:30,8.80,0.13,19.2,6.61,0.01,17.4
13/02/2022,22:40,8.79,0.13,19.1,6.61,0.01,17.2
13/02/2022,22:50,8.78,0.13,19.0,6.60,0.00,17.1
13/02/2022,23:00,8.77,0.13,18.8,6.61,0.01,17.0
13/02/2022,23:10,8.75,0.13,18.7,6.60,0.01,16.8
13/02/2022,23:20,8.74,0.13,18.6,6.60,0.00,16.7
13/02/2022,23:30,8.73,0.13,18.4,6.59,0.01,16.6
13/02/2022,23:40,8.73,0.12,18.3,6.60,0.01,16.4
13/02/2022,23:50,8.73,0.12,18.3,6.57,0.01,16.3
