data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
25/02/2022,00:00,5.15,0.03,24.2,7.37,0.01,22.6
25/02/2022,00:10,5.14,0.03,24.2,7.37,0.01,22.6
25/02/2022,00:20,5.14,0.03,24.2,7.44,0.01,22.6
25/02/2022,00:30,5.14,0.03,24.1,7.45,0.01,22.5
25/02/2022,00:40,5.14,0.03,24.0,7.46,0.01,22.4
25/02/2022,00:50,5.14,0.03,23.9,7.49,0.01,22.3
25/02/2022,01:00,5.12,0.03,23.8,7.52,0.01,22.2
25/02/2022,01:10,5.13,0.03,23.7,7.54,0.01,22.1
25/02/2022,01:20,5.12,0.02,23.7,7.54,0.01,22.1
25/02/2022,01:30,5.12,0.02,23.7,7.54,0.01,22.1
25/02/2022,01:40,5.13,0.03,23.7,7.54,0.01,22.1
25/02/2022,01:50,5.13,0.03,23.6,7.55,0.01,22.1
25/02/2022,02:00,5.13,0.03,23.5,7.56,0.01,22.0
25/02/2022,02:10,5.12,0.02,23.5,7.57,0.01,21.9
25/02/2022,02:20,5.13,0.03,23.5,7.58,0.01,21.9
25/02/2022,02:30,5.13,0.02,23.5,7.61,0.01,21.9
25/02/2022,02:40,5.12,0.03,23.4,7.61,0.01,21.9
25/02/2022,02:50,5.13,0.03,23.4,7.62,0.01,21.9
25/02/2022,03:00,5.13,0.03,23.4,7.62,0.00,21.9
25/02/2022,03:10,5.14,0.02,23.5,7.62,0.01,22.0
25/02/2022,03:20,5.13,0.02,23.5,7.63,0.01,22.0
25/02/2022,03:30,5.13,0.03,23.4,7.63,0.01,22.0
25/02/2022,03:40,5.14,0.02,23.5,7.64,0.01,22.0
25/02/2022,03:50,5.13,0.03,23.5,7.64,0.00,22.0
25/02/2022,04:00,5.14,0.03,23.5,7.65,0.00,22.1
25/02/2022,04:10,5.14,0.03,23.5,7.67,0.01,22.0
25/02/2022,04:20,5.14,0.02,23.5,7.66,0.01,22.0
25/02/2022,04:30,5.14,0.02,23.5,7.65,0.01,21.9
25/02/2022,04:40,5.14,0.03,23.4,7.68,0.01,21.9
25/02/2022,04:50,5.14,0.03,23.4,7.69,0.01,21.9
25/02/2022,05:00,5.14,0.03,23.5,7.70,0.01,22.0
25/02/2022,05:10,5.14,0.02,23.5,7.69,0.01,21.9
25/02/2022,05:20,5.14,0.03,23.4,7.70,0.01,21.9
25/02/2022,05:30,5.13,0.02,23.5,7.70,0.00,21.8
25/02/2022,05:40,5.15,0.03,23.3,7.70,0.01,21.7
25/02/2022,05:50,5.13,0.03,23.4,7.68,0.00,21.6
25/02/2022,06:00,5.14,0.03,23.3,7.70,0.01,21.6
25/02/2022,06:10,5.14,0.03,23.3,7.68,0.00,21.5
25/02/2022,06:20,5.14,0.03,23.3,7.69,0.01,21.5
25/02/2022,06:30,5.14,0.03,23.2,7.69,0.00,21.5
25/02/2022,06:40,5.14,0.03,23.1,7.70,0.01,21.5
25/02/2022,06:50,5.14,0.03,23.1,7.70,0.01,21.5
25/02/2022,07:00,5.13,0.03,23.2,7.70,0.01,21.6
25/02/2022,07:10,5.15,0.03,23.2,7.71,0.01,21.7
25/02/2022,07:20,5.14,0.03,23.4,7.71,0.01,21.8
25/02/2022,07:30,5.14,0.02,23.4,7.71,0.00,21.9
25/02/2022,07:40,5.15,0.03,23.5,7.71,0.01,22.1
25/02/2022,07:50,5.16,0.03,23.7,7.71,0.00,22.2
25/02/2022,08:00,5.16,0.03,23.7,7.71,0.01,22.3
25/02/2022,08:10,5.17,0.03,23.8,7.72,0.00,22.5
25/02/2022,08:20,5.16,0.03,24.0,7.79,0.01,22.9
25/02/2022,08:30,5.17,0.02,24.2,7.80,0.01,23.0
25/02/2022,08:40,5.18,0.03,24.2,7.83,0.01,23.1
25/02/2022,08:50,5.19,0.03,24.3,7.87,0.01,23.2
25/02/2022,09:00,5.19,0.03,24.3,7.88,0.01,23.4
25/02/2022,09:10,5.19,0.03,24.3,7.88,0.01,23.5
25/02/2022,09:20,5.20,0.03,24.5,7.88,0.01,23.8
25/02/2022,09:30,5.20,0.03,25.0,7.89,0.01,24.2
25/02/2022,09:40,5.26,0.02,26.3,8.10,0.01,29.4
25/02/2022,09:50,5.28,0.02,27.6,8.23,0.01,33.6
25/02/2022,10:00,5.32,0.02,28.8,8.23,0.01,35.1
25/02/2022,10:10,5.34,0.02,29.5,8.23,0.01,35.7
25/02/2022,10:20,5.37,0.02,30.3,8.24,0.01,36.9
25/02/2022,10:30,5.38,0.02,30.8,8.23,0.01,37.5
25/02/2022,10:40,5.41,0.02,31.2,8.18,0.00,37.6
25/02/2022,10:50,5.40,0.02,31.1,8.14,0.00,37.1
25/02/2022,11:00,5.41,0.02,31.4,8.11,0.00,37.5
25/02/2022,11:10,5.39,0.02,31.2,7.97,0.01,35.4
25/02/2022,11:20,5.39,0.02,30.7,7.90,0.00,34.6
25/02/2022,11:30,5.37,0.02,30.7,7.88,0.01,34.7
25/02/2022,11:40,5.38,0.02,30.7,7.97,0.01,37.3
25/02/2022,11:50,5.38,0.02,30.7,7.93,0.01,37.9
25/02/2022,12:00,5.38,0.02,30.9,7.97,0.01,40.1
25/02/2022,12:10,5.36,0.02,31.0,7.87,0.01,38.9
25/02/2022,12:20,5.38,0.02,31.1,7.81,0.00,38.9
25/02/2022,12:30,5.40,0.02,31.8,7.81,0.01,40.9
25/02/2022,12:40,5.40,0.02,31.8,7.63,0.01,37.6
25/02/2022,12:50,5.40,0.02,32.0,7.52,0.01,36.1
25/02/2022,13:00,5.40,0.02,32.2,7.54,0.01,38.0
