data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
28/02/2022,00:00,8.39,0.23,25.1,7.86,0.01,24.3
28/02/2022,00:10,8.40,0.22,25.2,7.97,0.01,24.4
28/02/2022,00:20,8.38,0.22,25.2,8.06,0.01,24.5
28/02/2022,00:30,8.38,0.22,25.2,8.06,0.01,24.4
28/02/2022,00:40,8.39,0.22,25.2,8.06,0.01,24.5
28/02/2022,00:50,8.39,0.23,25.2,8.06,0.01,24.5
28/02/2022,01:00,8.38,0.23,25.2,8.06,0.01,24.5
28/02/2022,01:10,8.38,0.23,25.2,8.06,0.01,24.5
28/02/2022,01:20,8.36,0.22,25.2,8.06,0.01,24.4
28/02/2022,01:30,8.34,0.22,25.2,8.06,0.01,24.3
28/02/2022,01:40,8.36,0.22,25.1,8.06,0.01,24.2
28/02/2022,01:50,8.34,0.23,25.0,8.06,0.01,24.1
28/02/2022,02:00,8.32,0.22,24.9,8.05,0.01,24.0
28/02/2022,02:10,8.32,0.23,24.8,8.04,0.01,23.8
28/02/2022,02:20,8.31,0.24,24.6,8.03,0.01,23.7
28/02/2022,02:30,8.31,0.23,24.6,8.04,0.01,23.7
28/02/2022,02:40,8.31,0.23,24.6,8.04,0.01,23.6
28/02/2022,02:50,8.29,0.23,24.4,8.58,0.01,23.0
28/02/2022,03:00,11.86,0.65,23.2,16.06,0.01,21.7
28/02/2022,03:10,13.72,0.51,22.4,16.68,0.01,21.7
28/02/2022,03:20,14.25,0.40,22.3,16.81,0.00,21.7
28/02/2022,03:30,13.88,0.42,22.4,16.03,0.00,21.7
28/02/2022,03:40,13.30,0.37,22.6,14.75,0.01,21.8
28/02/2022,03:50,13.15,0.35,22.7,14.47,0.01,21.9
28/02/2022,04:00,13.10,0.34,22.7,14.36,0.01,21.9
28/02/2022,04:10,13.13,0.32,22.7,14.52,0.01,21.9
28/02/2022,04:20,13.29,0.31,22.7,14.63,0.01,21.9
28/02/2022,04:30,13.42,0.32,22.7,14.59,0.01,21.9
28/02/2022,04:40,13.51,0.32,22.8,14.53,0.01,22.0
28/02/2022,04:50,13.66,0.31,22.8,14.59,0.01,22.0
28/02/2022,05:00,13.81,0.31,22.9,14.68,0.01,22.0
28/02/2022,05:10,13.91,0.31,22.8,14.59,0.01,22.0
28/02/2022,05:20,13.87,0.32,22.8,14.41,0.01,22.0
28/02/2022,05:30,13.72,0.31,22.8,14.08,0.01,21.9
28/02/2022,05:40,13.59,0.30,22.8,13.89,0.01,21.9
28/02/2022,05:50,14.06,0.33,22.8,15.00,0.01,21.8
28/02/2022,06:00,14.58,0.33,22.6,15.35,0.01,21.5
28/02/2022,06:10,14.61,0.32,22.5,15.08,0.01,21.3
28/02/2022,06:20,14.70,0.32,22.5,15.13,0.00,21.2
28/02/2022,06:30,15.12,0.33,22.4,15.37,0.01,21.2
28/02/2022,06:40,15.45,0.31,22.4,16.14,0.01,21.1
28/02/2022,06:50,15.52,0.30,22.2,15.87,0.00,21.0
28/02/2022,07:00,15.50,0.29,22.2,15.86,0.01,21.0
28/02/2022,07:10,15.45,0.28,22.2,15.48,0.01,21.0
28/02/2022,07:20,15.32,0.28,22.2,15.29,0.01,21.1
28/02/2022,07:30,15.44,0.28,22.2,15.31,0.01,21.1
28/02/2022,07:40,15.08,0.27,22.2,14.79,0.01,21.2
28/02/2022,07:50,14.71,0.26,22.3,14.40,0.01,21.2
28/02/2022,08:00,14.69,0.26,22.3,14.56,0.01,21.2
28/02/2022,08:10,15.49,0.27,22.3,16.15,0.01,21.3
28/02/2022,08:20,15.57,0.27,22.3,15.68,0.00,21.5
