data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
10/03/2022,00:00,15.31,0.46,25.4,15.80,0.02,25.0
10/03/2022,00:10,15.32,0.45,25.3,15.87,0.02,24.9
10/03/2022,00:20,15.31,0.46,25.3,16.06,0.02,24.9
10/03/2022,00:30,15.30,0.46,25.4,16.08,0.02,24.9
10/03/2022,00:40,15.31,0.45,25.4,16.06,0.02,24.9
10/03/2022,00:50,15.29,0.45,25.4,16.05,0.02,24.9
10/03/2022,01:00,15.29,0.45,25.4,16.09,0.01,24.9
10/03/2022,01:10,15.26,0.46,25.4,16.15,0.02,24.9
10/03/2022,01:20,15.25,0.45,25.5,16.23,0.01,24.9
10/03/2022,01:30,15.79,0.47,25.4,16.95,0.02,24.8
10/03/2022,01:40,22.42,0.46,24.3,17.82,0.02,24.1
10/03/2022,01:50,20.96,0.43,23.4,17.53,0.02,23.3
10/03/2022,02:00,19.97,0.42,23.3,17.37,0.02,23.0
10/03/2022,02:10,21.10,0.40,23.1,17.64,0.01,22.7
10/03/2022,02:20,20.39,0.40,22.8,17.38,0.02,22.4
10/03/2022,02:30,20.30,0.40,22.7,17.39,0.02,22.2
10/03/2022,02:40,19.71,0.40,22.8,17.27,0.02,22.1
10/03/2022,02:50,19.33,0.42,22.9,17.13,0.01,22.1
10/03/2022,03:00,19.00,0.42,22.9,17.06,0.02,22.1
10/03/2022,03:10,18.85,0.43,23.0,17.01,0.02,22.1
10/03/2022,03:20,18.73,0.42,23.0,16.90,0.02,22.1
10/03/2022,03:30,18.46,0.44,23.1,16.82,0.01,22.1
10/03/2022,03:40,18.39,0.44,23.1,16.78,0.01,22.1
10/03/2022,03:50,18.28,0.44,23.1,16.73,0.02,22.2
10/03/2022,04:00,18.14,0.44,23.2,16.69,0.02,22.2
10/03/2022,04:10,18.09,0.44,23.3,16.68,0.01,22.2
10/03/2022,04:20,18.01,0.45,23.3,16.66,0.01,22.3
10/03/2022,04:30,17.98,0.45,23.3,16.64,0.01,22.3
10/03/2022,04:40,17.87,0.45,23.4,16.63,0.01,22.3
10/03/2022,04:50,17.85,0.45,23.4,16.60,0.01,22.3
10/03/2022,05:00,17.79,0.46,23.4,16.59,0.02,22.3
10/03/2022,05:10,17.76,0.46,23.4,16.59,0.02,22.4
10/03/2022,05:20,17.72,0.46,23.5,16.55,0.01,22.4
10/03/2022,05:30,17.68,0.46,23.5,16.53,0.01,22.4
10/03/2022,05:40,17.61,0.45,23.5,16.50,0.01,22.5
10/03/2022,05:50,17.59,0.44,23.5,16.50,0.01,22.5
10/03/2022,06:00,17.56,0.46,23.6,16.49,0.01,22.5
10/03/2022,06:10,17.57,0.46,23.6,16.50,0.01,22.5
10/03/2022,06:20,17.57,0.45,23.6,16.52,0.01,22.5
10/03/2022,06:30,17.56,0.46,23.6,16.51,0.01,22.5
10/03/2022,06:40,17.55,0.46,23.6,16.53,0.01,22.5
10/03/2022,06:50,17.54,0.46,23.6,16.53,0.01,22.5
10/03/2022,07:00,17.53,0.46,23.6,16.54,0.01,22.5
10/03/2022,07:10,17.53,0.46,23.6,16.53,0.02,22.5
10/03/2022,07:20,17.52,0.47,23.6,16.51,0.01,22.5
10/03/2022,07:30,17.49,0.46,23.6,16.50,0.02,22.5
10/03/2022,07:40,17.47,0.46,23.6,16.50,0.01,22.6
10/03/2022,07:50,17.47,0.46,23.6,16.53,0.02,22.6
10/03/2022,08:00,17.47,0.47,23.6,16.48,0.01,22.5
10/03/2022,08:10,17.46,0.47,23.6,16.68,0.01,22.6
10/03/2022,08:20,17.46,0.47,23.5,17.00,0.01,22.6
