data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
16/03/2022,00:00,15.16,0.43,24.0,16.18,0.01,23.1
16/03/2022,00:10,15.18,0.44,24.0,16.21,0.01,23.1
16/03/2022,00:20,15.16,0.43,23.9,16.41,0.01,23.1
16/03/2022,00:30,15.15,0.44,23.9,16.45,0.01,23.0
16/03/2022,00:40,15.15,0.42,23.8,16.45,0.01,22.9
16/03/2022,00:50,15.14,0.43,23.8,16.44,0.01,22.9
16/03/2022,01:00,15.14,0.43,23.8,16.42,0.01,22.8
16/03/2022,01:10,15.13,0.43,23.7,16.41,0.01,22.8
16/03/2022,01:20,15.14,0.42,23.7,16.41,0.01,22.7
16/03/2022,01:30,15.14,0.43,23.7,16.40,0.01,22.7
16/03/2022,01:40,15.14,0.43,23.7,16.38,0.01,22.7
16/03/2022,01:50,15.15,0.42,23.7,16.37,0.01,22.6
16/03/2022,02:00,15.14,0.44,23.7,16.35,0.01,22.6
16/03/2022,02:10,15.14,0.42,23.7,16.35,0.01,22.6
16/03/2022,02:20,15.14,0.44,23.7,16.33,0.01,22.5
16/03/2022,02:30,15.14,0.43,23.7,16.33,0.01,22.5
16/03/2022,02:40,15.14,0.43,23.7,16.32,0.01,22.4
16/03/2022,02:50,15.14,0.43,23.7,16.32,0.01,22.4
16/03/2022,03:00,15.14,0.43,23.7,16.32,0.01,22.3
16/03/2022,03:10,15.14,0.43,23.7,16.31,0.01,22.3
16/03/2022,03:20,15.14,0.43,23.6,16.31,0.01,22.3
16/03/2022,03:30,15.14,0.44,23.6,16.29,0.01,22.2
16/03/2022,03:40,15.14,0.42,23.6,16.28,0.01,22.2
16/03/2022,03:50,15.14,0.43,23.6,16.28,0.01,22.1
16/03/2022,04:00,15.14,0.43,23.6,16.27,0.01,22.1
16/03/2022,04:10,15.14,0.44,23.5,16.27,0.01,22.1
16/03/2022,04:20,15.14,0.43,23.5,16.26,0.01,22.0
16/03/2022,04:30,15.14,0.42,23.5,16.25,0.01,22.0
16/03/2022,04:40,15.14,0.44,23.5,16.24,0.01,21.9
16/03/2022,04:50,15.14,0.43,23.5,16.23,0.01,21.9
16/03/2022,05:00,15.14,0.43,23.4,16.23,0.01,21.9
16/03/2022,05:10,15.14,0.43,23.4,16.23,0.01,21.9
16/03/2022,05:20,15.14,0.43,23.3,16.23,0.01,21.9
16/03/2022,05:30,15.14,0.44,23.4,16.23,0.01,21.8
16/03/2022,05:40,15.14,0.43,23.4,16.22,0.01,21.8
16/03/2022,05:50,15.14,0.43,23.4,16.21,0.01,21.7
16/03/2022,06:00,15.13,0.44,23.4,16.20,0.01,21.7
16/03/2022,06:10,15.13,0.44,23.3,16.19,0.02,21.7
16/03/2022,06:20,15.14,0.44,23.3,16.19,0.01,21.6
16/03/2022,06:30,15.14,0.44,23.3,16.19,0.01,21.6
16/03/2022,06:40,15.13,0.43,23.3,16.19,0.01,21.6
16/03/2022,06:50,15.13,0.43,23.2,16.18,0.01,21.6
16/03/2022,07:00,15.13,0.43,23.2,16.18,0.01,21.6
16/03/2022,07:10,15.13,0.43,23.2,16.17,0.01,21.6
16/03/2022,07:20,15.13,0.43,23.3,16.16,0.01,21.6
16/03/2022,07:30,15.13,0.43,23.2,16.15,0.01,21.6
16/03/2022,07:40,15.13,0.43,23.2,16.15,0.01,21.6
16/03/2022,07:50,15.12,0.42,23.3,16.14,0.01,21.6
16/03/2022,08:00,15.13,0.43,23.2,16.14,0.02,21.6
16/03/2022,08:10,15.13,0.46,23.1,16.15,0.01,21.7
16/03/2022,08:20,15.14,0.44,23.2,16.66,0.01,21.7
16/03/2022,08:30,15.14,0.42,23.2,16.62,0.01,21.8
16/03/2022,08:40,15.14,0.43,23.2,16.59,0.01,21.9
16/03/2022,08:50,15.13,0.43,23.2,16.54,0.02,21.9
16/03/2022,09:00,15.13,0.43,23.2,16.50,0.01,21.9
16/03/2022,09:10,15.13,0.43,23.2,16.50,0.01,22.0
16/03/2022,09:20,15.13,0.43,23.2,16.47,0.02,22.0
16/03/2022,09:30,15.13,0.42,23.3,16.46,0.01,22.1
16/03/2022,09:40,15.13,0.42,23.4,16.41,0.01,22.2
16/03/2022,09:50,15.13,0.43,23.5,16.41,0.01,22.3
16/03/2022,10:00,15.11,0.43,23.6,16.37,0.01,22.7
16/03/2022,10:10,15.13,0.43,23.8,16.36,0.01,23.1
16/03/2022,10:20,15.13,0.42,23.9,16.32,0.01,23.4
16/03/2022,10:30,15.13,0.42,24.1,16.32,0.01,23.8
16/03/2022,10:40,15.11,0.42,24.2,16.27,0.01,24.0
16/03/2022,10:50,15.11,0.44,24.4,16.24,0.01,24.4
16/03/2022,11:00,15.10,0.43,24.5,16.23,0.01,24.7
16/03/2022,11:10,15.09,0.41,24.6,16.20,0.01,25.0
16/03/2022,11:20,15.08,0.42,24.7,16.18,0.01,25.3
16/03/2022,11:30,15.07,0.42,24.9,16.14,0.01,25.6
16/03/2022,11:40,15.03,0.42,24.8,16.12,0.01,26.0
16/03/2022,11:50,15.01,0.42,24.9,16.09,0.01,26.3
16/03/2022,12:00,15.00,0.42,24.9,16.05,0.01,26.6
16/03/2022,12:10,15.00,0.43,24.9,16.02,0.01,26.8
16/03/2022,12:20,14.97,0.41,24.9,15.99,0.01,27.0
16/03/2022,12:30,14.96,0.41,25.0,15.96,0.01,27.2
16/03/2022,12:40,14.95,0.41,25.0,15.92,0.01,27.3
16/03/2022,12:50,14.94,0.39,25.1,15.90,0.01,27.4
16/03/2022,13:00,14.92,0.41,25.2,15.83,0.01,27.3
16/03/2022,13:10,14.93,0.40,25.2,15.78,0.01,27.1
16/03/2022,13:20,14.90,0.42,25.2,15.75,0.01,27.1
16/03/2022,13:30,14.85,0.41,25.3,15.71,0.01,27.1
16/03/2022,13:40,14.85,0.41,25.3,15.68,0.01,27.1
16/03/2022,13:50,14.83,0.41,25.3,15.64,0.01,27.0
16/03/2022,14:00,14.83,0.42,25.3,15.60,0.01,27.0
16/03/2022,14:10,14.82,0.41,25.4,15.58,0.02,27.0
16/03/2022,14:20,14.83,0.41,25.4,15.54,0.01,26.9
16/03/2022,14:30,14.82,0.41,25.4,15.50,0.01,26.9
16/03/2022,14:40,14.80,0.41,25.4,15.45,0.01,26.9
16/03/2022,14:50,14.81,0.41,25.4,15.41,0.01,27.0
16/03/2022,15:00,14.78,0.42,25.5,15.40,0.01,26.9
16/03/2022,15:10,14.81,0.42,25.4,15.36,0.01,27.0
16/03/2022,15:20,14.77,0.42,25.4,15.35,0.01,27.0
16/03/2022,15:30,14.79,0.40,25.5,15.31,0.01,27.0
16/03/2022,15:40,14.77,0.41,25.4,15.29,0.01,27.0
16/03/2022,15:50,14.75,0.42,25.4,15.22,0.01,27.0
16/03/2022,16:00,14.75,0.41,25.5,15.21,0.01,27.0
16/03/2022,16:10,14.72,0.41,25.5,15.20,0.01,26.9
16/03/2022,16:20,14.75,0.41,25.5,15.20,0.01,26.8
16/03/2022,16:30,14.74,0.41,25.5,15.16,0.02,26.8
16/03/2022,16:40,14.73,0.41,25.5,15.14,0.01,26.7
16/03/2022,16:50,14.72,0.42,25.5,15.15,0.01,26.5
16/03/2022,17:00,14.71,0.41,25.4,15.09,0.01,26.5
16/03/2022,17:10,14.79,0.41,25.4,15.10,0.02,26.4
16/03/2022,17:20,14.74,0.41,25.4,15.07,0.01,26.3
