data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
12/03/2022,00:00,15.94,0.45,23.4,16.04,0.01,21.5
12/03/2022,00:10,15.96,0.45,23.4,16.05,0.01,21.4
12/03/2022,00:20,15.96,0.45,23.3,16.28,0.01,21.4
12/03/2022,00:30,15.95,0.44,23.3,16.32,0.01,21.3
12/03/2022,00:40,15.94,0.44,23.2,16.31,0.01,21.3
12/03/2022,00:50,15.95,0.45,23.3,16.28,0.01,21.2
12/03/2022,01:00,15.95,0.45,23.2,16.27,0.01,21.1
12/03/2022,01:10,15.94,0.45,23.2,16.25,0.01,21.1
12/03/2022,01:20,15.94,0.45,23.2,16.23,0.01,21.0
12/03/2022,01:30,15.94,0.45,23.0,16.23,0.01,20.9
12/03/2022,01:40,15.94,0.45,23.0,16.22,0.01,20.9
12/03/2022,01:50,15.93,0.44,23.0,16.20,0.01,20.8
12/03/2022,02:00,15.93,0.44,22.9,16.19,0.01,20.7
12/03/2022,02:10,15.92,0.45,22.8,16.18,0.01,20.7
12/03/2022,02:20,15.92,0.42,22.8,16.17,0.01,20.6
12/03/2022,02:30,15.92,0.45,22.8,16.15,0.01,20.6
12/03/2022,02:40,15.92,0.46,22.7,16.14,0.01,20.5
12/03/2022,02:50,15.92,0.44,22.7,16.14,0.01,20.5
12/03/2022,03:00,15.92,0.45,22.7,16.14,0.01,20.4
12/03/2022,03:10,15.92,0.44,22.6,16.13,0.01,20.3
12/03/2022,03:20,15.92,0.45,22.7,16.12,0.01,20.3
12/03/2022,03:30,15.92,0.44,22.6,16.11,0.01,20.3
12/03/2022,03:40,15.91,0.44,22.5,16.10,0.01,20.2
12/03/2022,03:50,15.91,0.43,22.5,16.09,0.01,20.1
12/03/2022,04:00,15.91,0.45,22.5,16.09,0.01,20.1
12/03/2022,04:10,15.90,0.44,22.5,16.08,0.02,20.1
12/03/2022,04:20,15.90,0.45,22.4,16.07,0.01,20.0
12/03/2022,04:30,15.90,0.44,22.4,16.06,0.01,20.0
12/03/2022,04:40,15.90,0.45,22.3,16.05,0.02,19.9
12/03/2022,04:50,15.89,0.45,22.3,16.05,0.01,19.9
12/03/2022,05:00,15.90,0.45,22.3,16.05,0.01,19.8
12/03/2022,05:10,15.89,0.45,22.2,16.04,0.01,19.7
12/03/2022,05:20,15.89,0.45,22.2,16.03,0.01,19.7
12/03/2022,05:30,15.88,0.44,22.2,16.02,0.01,19.7
12/03/2022,05:40,15.89,0.45,22.1,16.02,0.02,19.6
12/03/2022,05:50,15.88,0.42,22.1,16.01,0.01,19.5
12/03/2022,06:00,15.87,0.44,22.1,16.00,0.01,19.4
12/03/2022,06:10,15.87,0.45,22.1,16.00,0.01,19.4
12/03/2022,06:20,15.86,0.41,22.0,16.00,0.01,19.3
12/03/2022,06:30,15.86,0.44,22.0,15.99,0.01,19.3
12/03/2022,06:40,15.86,0.44,22.0,15.99,0.01,19.2
12/03/2022,06:50,15.86,0.44,21.9,15.98,0.01,19.2
12/03/2022,07:00,15.86,0.41,21.9,16.00,0.01,19.2
12/03/2022,07:10,15.86,0.44,21.9,16.00,0.01,19.1
12/03/2022,07:20,15.85,0.44,21.9,15.99,0.01,19.1
12/03/2022,07:30,15.85,0.44,21.8,15.98,0.01,19.1
12/03/2022,07:40,15.85,0.44,21.8,15.98,0.01,19.1
12/03/2022,07:50,15.85,0.45,21.8,15.97,0.01,19.0
12/03/2022,08:00,15.85,0.44,21.8,15.96,0.01,19.0
12/03/2022,08:10,15.86,0.44,21.8,16.04,0.01,19.1
12/03/2022,08:20,15.86,0.44,21.8,16.59,0.01,19.1
12/03/2022,08:30,15.86,0.44,21.9,16.54,0.01,19.1
12/03/2022,08:40,15.85,0.45,21.9,16.49,0.01,19.2
12/03/2022,08:50,15.86,0.45,21.9,16.45,0.01,19.2
12/03/2022,09:00,15.86,0.44,21.9,16.42,0.01,19.2
12/03/2022,09:10,15.85,0.44,21.9,16.41,0.01,19.3
12/03/2022,09:20,15.85,0.44,21.9,16.38,0.01,19.3
12/03/2022,09:30,15.85,0.44,21.9,16.36,0.01,19.4
12/03/2022,09:40,15.84,0.44,21.9,16.32,0.01,19.4
12/03/2022,09:50,15.84,0.44,22.0,16.31,0.01,19.7
12/03/2022,10:00,15.80,0.44,22.1,16.28,0.01,20.1
12/03/2022,10:10,15.79,0.44,22.3,16.23,0.01,20.5
12/03/2022,10:20,15.79,0.44,22.3,16.18,0.02,20.9
12/03/2022,10:30,15.79,0.44,22.5,16.15,0.01,21.3
12/03/2022,10:40,15.78,0.43,22.6,16.14,0.01,21.7
12/03/2022,10:50,15.79,0.43,22.7,16.18,0.01,22.0
12/03/2022,11:00,15.79,0.43,22.9,16.14,0.01,22.4
12/03/2022,11:10,15.77,0.42,23.0,16.07,0.01,22.8
12/03/2022,11:20,15.75,0.42,22.9,16.05,0.01,23.2
12/03/2022,11:30,15.74,0.44,23.0,16.04,0.01,23.6
12/03/2022,11:40,15.73,0.45,23.0,16.02,0.02,24.0
12/03/2022,11:50,15.72,0.43,23.0,15.99,0.01,24.3
