data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
04/03/2022,00:00,10.22,0.18,24.4,10.81,0.01,22.9
04/03/2022,00:10,10.22,0.18,24.3,11.18,0.01,22.9
04/03/2022,00:20,10.23,0.18,24.3,11.47,0.01,22.9
04/03/2022,00:30,10.22,0.18,24.2,11.47,0.01,22.7
04/03/2022,00:40,10.22,0.18,24.1,11.46,0.00,22.7
04/03/2022,00:50,10.22,0.18,24.1,11.46,0.01,22.6
04/03/2022,01:00,10.22,0.18,24.0,11.44,0.01,22.6
04/03/2022,01:10,10.21,0.18,24.0,11.39,0.01,22.6
04/03/2022,01:20,10.22,0.18,23.9,11.38,0.01,22.5
04/03/2022,01:30,10.22,0.18,23.8,11.35,0.01,22.4
04/03/2022,01:40,10.22,0.18,23.8,11.32,0.00,22.3
04/03/2022,01:50,10.22,0.18,23.8,11.30,0.01,22.2
04/03/2022,02:00,10.22,0.18,23.7,11.30,0.01,22.1
04/03/2022,02:10,10.21,0.18,23.7,11.29,0.00,22.0
04/03/2022,02:20,10.21,0.18,23.5,11.26,0.01,21.9
04/03/2022,02:30,10.21,0.18,23.5,11.22,0.01,21.7
04/03/2022,02:40,10.21,0.18,23.5,11.22,0.01,21.7
04/03/2022,02:50,10.21,0.19,23.4,11.22,0.01,21.6
04/03/2022,03:00,10.21,0.18,23.4,11.16,0.01,21.5
04/03/2022,03:10,10.20,0.18,23.2,11.16,0.01,21.3
04/03/2022,03:20,10.21,0.18,23.3,11.15,0.00,21.2
04/03/2022,03:30,10.20,0.18,23.2,11.14,0.01,21.1
04/03/2022,03:40,10.20,0.18,23.2,11.13,0.01,20.9
04/03/2022,03:50,10.19,0.18,23.0,11.11,0.01,20.8
04/03/2022,04:00,10.19,0.19,23.0,11.08,0.01,20.7
04/03/2022,04:10,10.19,0.18,22.9,11.07,0.01,20.6
04/03/2022,04:20,10.19,0.19,22.8,11.06,0.01,20.5
04/03/2022,04:30,10.19,0.19,22.7,11.05,0.00,20.4
04/03/2022,04:40,10.20,0.18,22.8,11.04,0.01,20.4
04/03/2022,04:50,10.20,0.19,22.8,11.01,0.00,20.4
04/03/2022,05:00,10.18,0.18,22.7,11.00,0.01,20.3
04/03/2022,05:10,10.19,0.19,22.7,10.98,0.01,20.2
04/03/2022,05:20,10.18,0.18,22.6,10.98,0.01,20.2
04/03/2022,05:30,10.17,0.18,22.5,10.98,0.01,20.2
04/03/2022,05:40,10.17,0.18,22.5,10.98,0.01,20.1
04/03/2022,05:50,10.16,0.18,22.4,10.98,0.01,20.0
04/03/2022,06:00,10.15,0.19,22.3,10.96,0.00,19.9
04/03/2022,06:10,10.17,0.19,22.3,10.95,0.00,19.8
04/03/2022,06:20,10.16,0.18,22.4,10.92,0.01,19.8
04/03/2022,06:30,10.16,0.18,22.4,10.91,0.00,19.8
04/03/2022,06:40,10.16,0.18,22.3,10.90,0.00,19.8
04/03/2022,06:50,10.15,0.19,22.3,10.89,0.00,19.9
04/03/2022,07:00,10.16,0.19,22.4,10.89,0.00,19.9
04/03/2022,07:10,10.16,0.18,22.3,10.89,0.01,20.1
04/03/2022,07:20,10.16,0.18,22.4,10.89,0.01,20.3
04/03/2022,07:30,10.17,0.18,22.5,10.89,0.00,20.5
04/03/2022,07:40,10.17,0.18,22.5,10.89,0.01,20.7
04/03/2022,07:50,10.19,0.18,22.7,10.90,0.00,20.8
04/03/2022,08:00,10.19,0.18,22.7,10.89,0.01,21.0
04/03/2022,08:10,10.20,0.18,22.8,11.30,0.01,21.4
04/03/2022,08:20,10.20,0.18,22.9,11.96,0.00,21.9
04/03/2022,08:30,10.22,0.18,23.0,11.93,0.01,22.0
04/03/2022,08:40,10.22,0.19,23.1,11.90,0.01,22.1
04/03/2022,08:50,10.21,0.18,23.3,11.86,0.01,22.3
04/03/2022,09:00,10.22,0.18,23.4,11.80,0.01,22.6
04/03/2022,09:10,10.22,0.18,23.6,11.79,0.01,22.9
04/03/2022,09:20,10.22,0.19,23.8,11.78,0.01,23.3
04/03/2022,09:30,10.22,0.18,24.4,11.77,0.01,24.1
04/03/2022,09:40,10.29,0.15,25.6,11.85,0.01,28.1
04/03/2022,09:50,10.30,0.16,26.6,11.86,0.01,32.0
04/03/2022,10:00,10.35,0.16,27.4,11.82,0.01,33.6
04/03/2022,10:10,10.37,0.17,27.9,11.78,0.00,34.0
04/03/2022,10:20,10.39,0.16,28.7,11.78,0.01,35.5
04/03/2022,10:30,10.41,0.16,29.4,11.74,0.01,36.4
04/03/2022,10:40,10.43,0.15,29.7,11.70,0.01,36.8
04/03/2022,10:50,10.45,0.15,30.1,11.62,0.00,37.5
04/03/2022,11:00,10.43,0.16,30.1,11.53,0.01,36.5
04/03/2022,11:10,10.42,0.16,30.3,11.49,0.01,37.8
04/03/2022,11:20,10.42,0.16,30.6,11.46,0.00,38.9
04/03/2022,11:30,10.40,0.16,30.5,11.45,0.01,39.6
04/03/2022,11:40,10.38,0.16,30.0,11.39,0.01,40.0
04/03/2022,11:50,10.36,0.16,29.7,11.31,0.01,40.3
04/03/2022,12:00,10.33,0.15,29.5,11.26,0.01,40.4
04/03/2022,12:10,10.30,0.16,29.3,11.16,0.01,40.2
04/03/2022,12:20,10.29,0.16,29.7,11.14,0.01,41.0
04/03/2022,12:30,10.30,0.16,29.9,11.06,0.01,40.7
04/03/2022,12:40,10.29,0.16,30.2,11.06,0.01,42.2
04/03/2022,12:50,10.30,0.16,30.4,10.99,0.01,42.9
04/03/2022,13:00,10.30,0.16,31.0,10.89,0.01,41.0
04/03/2022,13:10,10.30,0.16,31.2,10.65,0.01,37.5
04/03/2022,13:20,10.29,0.16,31.2,10.56,0.01,36.1
04/03/2022,13:30,10.29,0.16,30.9,10.48,0.01,35.3
04/03/2022,13:40,10.30,0.17,30.7,10.64,0.01,37.8
04/03/2022,13:50,10.28,0.16,30.5,10.61,0.01,38.4
04/03/2022,14:00,10.24,0.16,30.5,10.57,0.01,39.3
04/03/2022,14:10,10.25,0.16,30.6,10.61,0.01,41.3
04/03/2022,14:20,10.25,0.16,30.7,10.64,0.00,43.7
04/03/2022,14:30,10.23,0.16,30.7,10.64,0.01,44.6
04/03/2022,14:40,10.22,0.16,30.6,10.57,0.01,43.7
04/03/2022,14:50,10.21,0.16,30.6,10.42,0.01,41.7
04/03/2022,15:00,10.20,0.16,30.6,10.29,0.01,39.6
04/03/2022,15:10,10.19,0.16,30.6,10.15,0.00,37.5
04/03/2022,15:20,10.19,0.16,30.5,10.05,0.01,35.6
04/03/2022,15:30,10.15,0.16,30.4,10.00,0.01,35.1
04/03/2022,15:40,10.14,0.16,30.2,9.97,0.01,34.4
04/03/2022,15:50,10.14,0.17,30.2,9.95,0.00,34.3
04/03/2022,16:00,10.14,0.17,30.2,9.90,0.01,34.3
04/03/2022,16:10,10.14,0.16,30.1,9.88,0.00,33.6
04/03/2022,16:20,10.13,0.16,30.1,9.87,0.01,33.3
04/03/2022,16:30,10.13,0.15,30.1,9.85,0.01,33.5
04/03/2022,16:40,10.13,0.16,30.2,9.81,0.01,33.5
04/03/2022,16:50,10.13,0.16,30.1,9.80,0.01,32.9
04/03/2022,17:00,10.12,0.16,29.9,9.73,0.01,32.2
04/03/2022,17:10,10.12,0.16,29.7,9.83,0.00,31.7
04/03/2022,17:20,10.11,0.17,29.4,9.97,0.01,31.2
04/03/2022,17:30,10.11,0.16,29.2,10.31,0.01,30.8
04/03/2022,17:40,10.10,0.17,29.1,10.65,0.00,30.7
04/03/2022,17:50,10.08,0.17,29.0,10.72,0.01,30.4
04/03/2022,18:00,10.08,0.16,28.9,10.73,0.01,30.0
04/03/2022,18:10,10.07,0.16,28.7,10.73,0.01,29.5
04/03/2022,18:20,10.06,0.16,28.6,10.73,0.01,29.2
04/03/2022,18:30,10.06,0.17,28.4,10.73,0.01,28.8
04/03/2022,18:40,10.06,0.17,28.2,10.68,0.01,28.5
04/03/2022,18:50,10.06,0.17,28.0,10.65,0.01,28.1
04/03/2022,19:00,10.05,0.17,27.8,10.65,0.01,27.7
04/03/2022,19:10,10.04,0.18,27.6,10.89,0.01,27.5
04/03/2022,19:20,10.05,0.17,27.5,11.50,0.01,27.3
04/03/2022,19:30,10.04,0.17,27.4,11.49,0.01,27.1
04/03/2022,19:40,10.03,0.17,27.2,11.46,0.01,26.8
04/03/2022,19:50,10.03,0.17,27.1,11.44,0.01,26.5
04/03/2022,20:00,10.03,0.17,27.0,11.38,0.01,26.3
04/03/2022,20:10,10.04,0.17,26.9,11.35,0.01,26.1
04/03/2022,20:20,10.04,0.17,26.8,11.31,0.01,25.9
04/03/2022,20:30,10.02,0.18,26.7,11.30,0.01,25.8
04/03/2022,20:40,10.04,0.16,26.7,11.29,0.01,25.6
04/03/2022,20:50,10.01,0.17,26.5,11.26,0.01,25.6
04/03/2022,21:00,10.01,0.17,26.4,11.22,0.01,25.5
04/03/2022,21:10,10.00,0.17,26.4,11.22,0.01,25.6
04/03/2022,21:20,9.98,0.17,26.3,11.20,0.01,25.5
04/03/2022,21:30,9.98,0.17,26.3,11.16,0.01,25.6
04/03/2022,21:40,9.99,0.17,26.3,11.14,0.01,25.5
04/03/2022,21:50,9.98,0.17,26.3,11.14,0.01,25.4
04/03/2022,22:00,9.98,0.17,26.2,11.12,0.00,25.2
