data,hora,umidade_a,condutividade_a,temperatura_a,umidade_b,condutividade_b,temperatura_b
06/03/2022,00:00,12.20,0.25,25.8,12.14,0.01,24.4
06/03/2022,00:10,12.12,0.23,25.8,12.96,0.01,24.4
06/03/2022,00:20,12.13,0.24,25.8,13.11,0.01,24.5
06/03/2022,00:30,12.13,0.23,25.8,12.95,0.01,24.4
06/03/2022,00:40,12.12,0.23,25.7,12.82,0.01,24.2
06/03/2022,00:50,12.12,0.24,25.6,12.75,0.01,24.2
06/03/2022,01:00,12.10,0.23,25.6,12.68,0.01,24.1
06/03/2022,01:10,12.08,0.23,25.6,12.62,0.01,24.1
06/03/2022,01:20,12.07,0.24,25.6,12.60,0.01,24.1
06/03/2022,01:30,12.07,0.24,25.5,12.54,0.01,24.1
06/03/2022,01:40,12.06,0.23,25.6,12.53,0.01,24.1
06/03/2022,01:50,12.05,0.24,25.5,12.48,0.01,24.0
06/03/2022,02:00,12.05,0.24,25.4,12.46,0.01,24.0
06/03/2022,02:10,12.05,0.23,25.4,12.42,0.01,24.0
06/03/2022,02:20,12.04,0.24,25.4,12.39,0.01,23.9
06/03/2022,02:30,12.03,0.22,25.4,12.37,0.01,23.8
06/03/2022,02:40,12.03,0.23,25.4,12.33,0.01,23.9
06/03/2022,02:50,12.02,0.24,25.4,12.31,0.01,23.8
06/03/2022,03:00,11.99,0.23,25.4,12.30,0.01,23.8
06/03/2022,03:10,11.99,0.23,25.4,12.24,0.01,23.8
06/03/2022,03:20,11.98,0.23,25.3,12.24,0.01,23.8
06/03/2022,03:30,11.98,0.23,25.3,12.24,0.01,23.8
06/03/2022,03:40,11.97,0.23,25.2,12.23,0.01,23.7
06/03/2022,03:50,11.97,0.22,25.2,12.23,0.01,23.7
06/03/2022,04:00,11.96,0.23,25.1,12.20,0.01,23.6
06/03/2022,04:10,11.96,0.23,25.1,12.19,0.01,23.7
06/03/2022,04:20,11.97,0.23,25.3,12.24,0.01,23.7
06/03/2022,04:30,11.97,0.23,25.3,12.27,0.01,23.5
06/03/2022,04:40,11.98,0.23,25.2,12.29,0.01,23.5
